10:45:17:879 [ALWAYS]	GUDE Logging Started
10:45:17:880 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:45:17:880 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:45:17:880 [ERROR]	Initialize resume cache pointer failure
10:45:17:880 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:45:17:880 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:45:21:519 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:45:21:519 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:45:21:519 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:45:21:519 [ERROR]	Initialize resume cache pointer failure
10:45:21:520 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:45:21:520 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
